BTC,ETH,UNI,ADA,BNB,CAKE,XMR
35401.15,1104.22,5.3847,0.27662,39.3493,0.4995,151.94
35527.4,1113.33,5.4044,0.2771,39.86,0.5269,155.38
34870.86,1092.89,5.3434,0.2729,39.269,0.52,153.94
32812.67,1025.61,5.0183,0.26027,37.937,0.486,144.64
34329.21,1070.12,5.3131,0.27395,39.2,0.4934,151.61
35412.28,1108.11,5.453,0.27811,39.8242,0.5121,158.45
35743.92,1134.87,5.5352,0.2826,40.1489,0.5261,169.07
35362.19,1111.82,5.4258,0.28219,39.4844,0.5183,168.17
34149.38,1065.9,5.27,0.26664,38.4187,0.502,157.21
34237.17,1072.14,5.3061,0.26857,38.547,0.5095,157.11
32779.32,1024.75,5.0859,0.26,37.5052,0.4901,153.82
33252.93,1037.13,5.1209,0.26268,37.6951,0.4966,152.61
31518.58,974.84,4.8602,0.25079,36.3468,0.4688,147.8
31705.44,961.17,4.6378,0.24199,35.8163,0.4571,148.24
32805.39,996.62,4.8212,0.25525,36.7962,0.4668,151.5
32528.64,992.29,4.8416,0.25522,37.1338,0.4888,151.42
32231.94,983.84,4.766,0.25158,36.4859,0.4649,151.6
33398.36,1018.96,4.8728,0.25738,37.097,0.4763,158.09
33958.69,1031.83,4.9653,0.25939,37.486,0.4874,161.62
34364.74,1058.08,5.077,0.26885,37.6676,0.4808,161.32
35427.77,1087.2,5.2433,0.27526,38.1628,0.481,157.87
34937.3,1062.21,5.1439,0.27205,37.8403,0.4816,162.59
34298.78,1055.7,5.0819,0.26681,37.6912,0.482,162.53
34382.96,1068.6,5.2221,0.27231,38.1817,0.49,166.29
34993.56,1088.93,5.2887,0.28603,38.5842,0.4992,171.7
35299.17,1096.08,5.3257,0.29103,38.4763,0.4976,170.0
35899.16,1129.77,5.541,0.29435,39.1499,0.516,169.25
36009.91,1138.87,5.573,0.30388,39.4583,0.5214,166.43
36440.32,1140.0,5.5047,0.30767,39.7176,0.533,166.98
35799.28,1117.02,5.3698,0.29373,38.8633,0.526,162.39
35932.54,1115.38,5.4477,0.29508,38.9,0.5326,164.62
35067.47,1084.0,5.2658,0.28463,38.5716,0.5309,160.34
35396.15,1098.56,5.3319,0.28758,39.0076,0.5373,161.98
35003.81,1086.45,5.2806,0.28761,38.814,0.5368,162.76
33231.16,1025.28,5.0427,0.27224,37.5968,0.5211,156.84
33400.73,1034.73,5.1092,0.27921,37.7206,0.5214,159.02
33821.9,1053.05,5.1857,0.28502,38.2884,0.5106,159.56
34979.92,1106.04,5.5448,0.29636,39.0068,0.5265,163.55
34998.99,1117.03,5.6749,0.2949,38.9489,0.5213,163.13
35026.09,1103.78,5.7183,0.29157,38.8291,0.5278,165.94
34655.94,1082.05,5.7567,0.2878,38.6414,0.5281,160.8
34265.57,1079.89,5.7778,0.28697,38.51,0.5329,159.96
34713.93,1077.6,5.7052,0.29088,38.6734,0.5245,161.08
33719.92,1052.2,5.6152,0.28173,38.0816,0.5222,156.65
34029.14,1049.35,5.5789,0.28863,38.25,0.5235,159.06
32500.0,989.72,5.2749,0.27182,37.0723,0.5143,152.4
33094.54,1030.42,5.4888,0.28037,37.7205,0.5184,156.65
33006.55,1030.25,5.5023,0.28122,37.5812,0.5182,156.87
33789.28,1045.81,5.5352,0.28326,38.0557,0.5286,158.09
33161.15,1023.12,5.4277,0.27801,37.7729,0.5287,157.35
33297.15,1035.54,5.4793,0.28125,37.8623,0.5247,155.74
33761.5,1043.66,5.6003,0.28502,37.5241,0.5371,158.5
34969.55,1075.94,5.7345,0.29213,38.2729,0.5551,161.0
34500.69,1059.13,5.7839,0.28785,38.1224,0.5367,160.3
34331.52,1059.72,5.7525,0.28867,38.0846,0.5299,160.33
34901.35,1078.94,5.816,0.29438,38.4204,0.5492,162.76
34367.57,1060.85,5.6872,0.29051,38.1996,0.5501,161.43
34240.68,1056.71,5.73,0.29043,38.2564,0.5482,161.13
34542.67,1066.18,5.8703,0.29052,38.6298,0.5626,163.5
34246.05,1054.94,5.7456,0.286,38.4528,0.5702,164.18
34647.07,1070.38,5.8897,0.28976,38.7884,0.5575,165.55
34756.83,1072.43,6.19,0.29043,38.9319,0.5662,165.49
34792.56,1073.42,6.1515,0.29359,39.15,0.5656,165.06
35701.81,1102.91,6.1389,0.29919,39.4754,0.5949,165.61
35986.12,1101.89,6.155,0.29928,39.4319,0.5891,165.53
36213.55,1110.6,6.202,0.30425,39.8718,0.5948,166.64
37286.44,1126.65,6.34,0.30947,40.1145,0.5979,169.71
37215.79,1118.1,6.2432,0.30761,40.2176,0.6063,169.46
37383.06,1129.88,6.3402,0.31254,40.1025,0.6,171.43
37776.92,1134.26,6.3696,0.31535,40.5694,0.5938,167.3
37461.17,1115.37,6.1948,0.30735,39.8101,0.588,166.6
37433.01,1113.19,6.5292,0.3092,39.9091,0.59,164.62
37047.09,1096.06,6.3356,0.30446,39.8461,0.5818,163.04
37508.08,1109.08,6.3824,0.30919,40.4746,0.6099,165.18
37528.55,1109.73,6.3282,0.30546,40.2353,0.6088,163.46
37843.15,1121.48,6.368,0.31011,40.7986,0.6094,166.08
38201.25,1147.85,6.3896,0.31013,40.6805,0.6095,165.83
38380.41,1157.2,6.4113,0.31088,40.5107,0.579,168.87
37945.9,1146.17,6.3734,0.30791,40.5587,0.5948,165.5
38483.91,1168.56,6.5195,0.31463,41.06,0.5991,168.8
38362.07,1166.44,6.7604,0.31208,41.1323,0.6084,168.79
38255.77,1168.87,6.9556,0.31405,41.2,0.6092,165.43
38976.42,1193.37,6.8537,0.3142,41.6297,0.6164,164.74
39591.57,1208.43,6.8412,0.31816,41.6254,0.6115,166.92
39530.61,1212.52,6.7522,0.31683,41.5812,0.6142,168.09
39248.16,1223.79,6.5555,0.31792,41.5315,0.627,166.92
39398.7,1218.27,6.5169,0.31547,41.5552,0.607,166.6
39306.22,1208.71,6.463,0.31084,41.2732,0.6093,166.35
39843.28,1230.3,6.5295,0.31636,41.4905,0.5983,166.44
39305.0,1206.53,6.4391,0.3085,41.06,0.6079,166.6
38729.68,1186.51,6.4193,0.30325,40.7897,0.5872,164.0
38935.13,1198.74,6.5738,0.30744,41.1225,0.5844,163.84
39113.72,1230.35,6.9664,0.31152,41.8321,0.6063,163.84
39418.68,1235.91,7.1519,0.31329,42.0588,0.5998,161.49
39128.01,1229.2,7.0081,0.3224,41.9151,0.6015,161.65
39220.43,1238.22,7.0653,0.32397,41.8893,0.6036,165.39
38652.73,1217.52,6.8964,0.31729,41.3507,0.5911,163.83
38395.88,1206.89,6.8643,0.31342,41.2318,0.596,162.2
37780.0,1184.61,6.7924,0.30874,40.7566,0.5954,162.34
38004.94,1199.26,6.9445,0.31297,41.436,0.6078,163.16
38440.0,1239.78,7.2316,0.32412,41.7415,0.6132,165.39
38246.47,1216.6,7.2312,0.31699,41.449,0.6057,165.21
38646.14,1231.16,7.303,0.32097,41.6475,0.6202,166.61
38410.0,1232.72,7.2356,0.31962,41.5732,0.6226,164.98
38074.97,1224.86,7.0973,0.31833,41.1634,0.6259,162.43
37738.62,1220.61,7.0296,0.31431,40.9995,0.6199,160.33
37635.89,1220.37,7.3182,0.31888,41.3156,0.6197,162.53
36885.59,1194.81,7.0425,0.3092,40.8016,0.5999,157.45
35541.44,1139.46,6.652,0.29604,39.77,0.5936,152.13
36132.48,1164.76,7.2127,0.30284,40.3996,0.5937,155.98
35935.73,1154.12,7.0719,0.30092,40.4624,0.5999,156.44
35408.98,1138.87,7.0149,0.29999,40.3705,0.594,156.73
35200.0,1133.27,6.9417,0.29959,40.1117,0.5966,153.87
35577.83,1135.82,6.9853,0.29998,40.347,0.5945,155.44
36238.85,1158.67,7.0483,0.30235,40.7601,0.6001,156.34
36593.05,1162.65,7.1505,0.30358,40.9513,0.591,157.03
36734.62,1168.37,7.3759,0.30196,40.8957,0.5999,157.34
37165.14,1188.78,7.4434,0.30736,41.3447,0.6106,157.78
37012.73,1178.58,7.3408,0.30788,41.3239,0.6156,157.1
36215.48,1163.27,7.2787,0.30375,41.0153,0.61,155.97
36526.24,1179.01,7.4945,0.30864,41.6428,0.6257,157.34
36569.05,1181.05,7.4365,0.30963,41.3174,0.6256,157.8
35852.65,1164.15,7.3082,0.30711,40.9693,0.6153,156.19
36108.3,1173.27,7.3599,0.31523,41.1815,0.6152,156.97
36576.73,1182.75,7.5371,0.31557,41.5656,0.6176,158.63
37478.69,1215.6,7.7555,0.31817,41.9358,0.6227,159.95
37452.18,1215.14,7.8644,0.33187,42.93,0.6308,160.82
37415.35,1213.66,7.8298,0.33711,43.026,0.6233,161.09
37684.8,1219.01,7.8271,0.35405,43.0897,0.6317,160.69
37359.68,1217.82,7.7753,0.35806,43.0709,0.6274,159.12
37153.13,1231.28,7.922,0.35315,43.4044,0.6344,158.47
37212.37,1238.41,8.1254,0.35362,43.2739,0.635,158.01
37473.15,1276.63,8.8918,0.35676,43.81,0.6468,159.79
37231.12,1266.35,8.5206,0.34719,43.1337,0.6395,160.05
36878.3,1254.36,8.3692,0.34918,42.9998,0.6404,158.3
36505.89,1232.58,8.24,0.3424,42.248,0.6386,156.79
36391.52,1253.1,8.5673,0.35282,42.8567,0.6523,157.53
36727.4,1274.13,8.6821,0.35473,43.2592,0.6621,157.94
35925.31,1234.86,8.2747,0.34907,42.5078,0.635,155.07
36135.0,1232.49,8.3274,0.3464,42.9897,0.648,155.45
36003.52,1227.88,8.4404,0.35085,43.1128,0.6434,155.57
36399.49,1235.82,8.8601,0.37016,43.9336,0.6511,156.65
36725.05,1250.74,8.6389,0.3823,43.6257,0.6518,157.92
36423.85,1245.51,9.0818,0.37508,43.6142,0.65,156.83
36178.17,1241.39,8.8905,0.37579,43.2468,0.6491,155.89
35845.29,1223.21,8.6461,0.3768,43.3012,0.6509,155.36
35550.01,1215.51,8.4253,0.36315,42.3239,0.6439,154.76
35390.58,1213.17,8.5183,0.36842,42.0972,0.6418,155.79
34764.14,1182.35,8.2445,0.35535,41.5465,0.637,153.64
34720.51,1196.11,8.3136,0.35978,41.6428,0.6391,153.71
34160.61,1179.99,8.2136,0.35613,41.1758,0.6345,150.77
34810.9,1202.26,8.4562,0.36354,41.8061,0.6409,152.47
35276.01,1219.78,8.6546,0.37698,42.2136,0.646,154.07
35132.18,1213.25,8.2982,0.369,41.7193,0.6321,153.05
34846.76,1198.92,8.3281,0.36279,41.4894,0.6461,152.53
34749.99,1198.91,8.2382,0.36526,41.6748,0.6485,152.35
35727.95,1240.97,8.51,0.38569,43.45,0.6694,154.61
35902.95,1238.91,8.4742,0.37887,44.5445,0.6651,154.55
35834.32,1232.0,8.8282,0.37292,44.327,0.6694,155.15
35665.02,1226.16,8.7488,0.37914,44.1586,0.6649,155.4
35619.14,1218.1,8.6864,0.37157,45.5024,0.6836,156.53
36056.78,1237.5,8.9515,0.38509,46.65,0.6827,162.19
36550.68,1261.21,9.0762,0.38347,46.4417,0.691,163.09
36167.98,1245.35,8.7994,0.38532,45.9502,0.689,161.52
35833.58,1232.24,8.6885,0.38088,45.8571,0.6879,159.67
35960.3,1242.56,8.7449,0.39076,46.72,0.7085,158.64
36115.4,1239.35,8.899,0.3885,46.3791,0.699,158.29
35751.66,1220.81,8.6796,0.38573,45.8197,0.6899,156.1
35092.85,1193.88,8.4574,0.37213,45.1749,0.6706,153.86
35124.05,1201.62,8.4747,0.37387,45.2824,0.6896,154.39
35336.53,1207.65,8.598,0.37762,46.2254,0.701,154.69
35187.75,1197.66,8.5675,0.37285,45.3212,0.7008,153.09
36087.95,1219.59,9.1268,0.38173,46.0512,0.72,154.72
